module,phase,name,code,sequence,workflow-file,command,required,agent,options,description,output-location,outputs,
wds,0-wds-pitch,Alignment,AS,10,_bmad/wds/workflows/1-project-brief/alignment-signoff/workflow.md,bmad-wds-alignment,false,analyst,Create Mode,"Secure stakeholder buy-in before project starts. Create pitch service agreement and signoff documents. Optional - skip if building your own product or small trusted team.",design_artifacts/A-Product-Brief,"pitch service-agreement signoff",
wds,1-wds-strategy,Project Brief,PB,10,_bmad/wds/workflows/1-project-brief/workflow.yaml,bmad-wds-project-brief,true,analyst,Create Mode,"Define product vision positioning competitive analysis and success criteria. The North Star for all design decisions.",design_artifacts/A-Product-Brief,"project-brief.md",
wds,1-wds-strategy,Trigger Mapping,TM,20,_bmad/wds/workflows/2-trigger-mapping/workflow.yaml,bmad-wds-trigger-mapping,true,analyst,Create Mode,"Map business goals to user psychology. Create personas with driving forces and feature impact analysis. The secret weapon of WDS.",design_artifacts/B-Trigger-Map,"trigger-map.md personas/ feature-impact-analysis.md",
wds,1-wds-strategy,Platform Requirements,PR,30,_bmad/wds/workflows/3-prd-platform/workflow.yaml,bmad-wds-platform-requirements,false,analyst,Create Mode,"Define technical boundaries that inform design. Platforms integrations constraints and risks. Know your boundaries before designing within them.",design_artifacts/A-Product-Brief,"platform-requirements.md",
wds,2-wds-design,Outline Scenarios,OS,10,_bmad/wds/workflows/4-ux-design/scenario-init/workflow.md,bmad-wds-outline-scenarios,true,ux-designer,Create Mode,"Define user journeys to design. Scenarios are journeys not pages. Connect to personas and driving forces.",design_artifacts/C-UX-Scenarios,"scenario-overview.md",
wds,2-wds-design,Conceptual Sketching,CS,20,_bmad/wds/workflows/4-ux-design/workflow.md,bmad-wds-conceptual-sketching,false,ux-designer,Create Mode,"Fast rough visual exploration. Multiple entry points: hand sketch AI generation inspiration or discussion.",design_artifacts/C-UX-Scenarios,"sketches",
wds,2-wds-design,Storyboarding,SB,30,_bmad/wds/workflows/4-ux-design/workflow.md,bmad-wds-storyboarding,false,ux-designer,Create Mode,"Sequence the user journey through screens. Map entry points transitions success states and error paths.",design_artifacts/C-UX-Scenarios,"storyboards",
wds,2-wds-design,Conceptual Specifications,SP,40,_bmad/wds/workflows/4-ux-design/workflow.md,bmad-wds-conceptual-specs,true,ux-designer,Create Mode,"Document every design decision. What why how and content for every element. Nothing left to interpretation.",design_artifacts/C-UX-Scenarios,"page-specs scenario-specs",
wds,2-wds-design,Functional Interface Components,FI,50,_bmad/wds/workflows/4-ux-design/workflow.md,bmad-wds-functional-components,false,ux-designer,Create Mode,"Identify reusable patterns across specifications. Extract components that appear 3+ times with consistent behavior.",design_artifacts/C-UX-Scenarios,"component-candidates",
wds,2-wds-design,Visual Design,VD,60,_bmad/wds/workflows/4-ux-design/stitch-generation/workflow.md,bmad-wds-visual-design,false,ux-designer,Create Mode,"Transform specifications into visual prototypes. Use Stitch AI and Figma to make designs real.",design_artifacts/C-UX-Scenarios,"html-prototypes visual-designs",
wds,2-wds-design,Design System Modes,DS,70,_bmad/wds/workflows/5-design-system/workflow.yaml,bmad-wds-design-system,false,ux-designer,Create Mode,"Manage components based on project mode: None Building Library or Existing. System grows organically from design work.",design_artifacts/D-Design-System,"components/ design-tokens.md",
wds,2-wds-design,Design Delivery,DD,80,_bmad/wds/workflows/6-design-deliveries/workflow.md,bmad-wds-design-delivery,true,ux-designer,Create Mode,"Validate specifications and package for development. Freyas final step before handoff to Idunn.",design_artifacts/E-PRD/Design-Deliveries,"delivery-package acceptance-criteria",
wds,3-wds-implementation,Agentic Development,AD,10,_bmad/wds/workflows/9-agent-dialogs/workflow.md,bmad-wds-agentic-development,false,pm,Create Mode,"Build iteratively with documented agent dialogs. Design one thing build it review iterate. Capture decisions for context.",design_artifacts/F-Agent-Dialogs,"dialog-documents",
wds,3-wds-implementation,Testing,TS,20,_bmad/wds/workflows/7-testing/workflow.md,bmad-wds-testing,false,pm,Validate Mode,"Verify implementation matches specifications. Browser-based comparison of built product against design specs.",design_artifacts/F-Testing,"test-results",
wds,3-wds-implementation,Product Evolution,PE,30,_bmad/wds/workflows/8-ongoing-development/workflow.md,bmad-wds-product-evolution,false,pm,Create Mode,"Continuous improvement for living products. Capture feedback connect to trigger map update specs deliver test. Your work compounds.",design_artifacts,"updated-artifacts",
